Year,MakeDate,Month,Housetype,Active listing,Sales,Benchmark price,Average day on market,Bank of Canada Interest Rate,Interest Change,Adj Close,Close,High,Open,Low,Volume,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
2021,5/1/2021,5,A,4713,2049,737100,19,0.0025,0,19442.90488285,19442.90488285,19506.23017575,19428.4499999,19356.27001945,23841699500,4402,653,686500,35
2021,4/1/2021,4,D,4426,1655,1755500,17,0.0025,0,19168.876395,19168.876395,19229.261997762,19172.723865381,19104.280878048,20120255714.2857,3863,388,1462100,44
2021,4/1/2021,4,T,1378,964,900900,18,0.0025,0,19168.876395,19168.876395,19229.261997762,19172.723865381,19104.280878048,20120255714.2857,1481,218,796800,32
2021,4/1/2021,4,A,4441,2289,729600,24,0.0025,0,19168.876395,19168.876395,19229.261997762,19172.723865381,19104.280878048,20120255714.2857,4045,503,685500,29
2021,3/1/2021,3,D,3713,1965,1700200,27,0.0025,0,18658.099864,18658.099864,18732.565047565,18652.665166522,18554.782778478,27989506521.7391,4031,852,1450700,43
2021,3/1/2021,3,T,1309,1046,872200,19,0.0025,0,18658.099864,18658.099864,18732.565047565,18652.665166522,18554.782778478,27989506521.7391,1494,493,791800,30
2021,3/1/2021,3,A,4123,2697,715800,28,0.0025,0,18658.099864,18658.099864,18732.565047565,18652.665166522,18554.782778478,27989506521.7391,4081,1179,687000,29
2021,2/1/2021,2,D,2948,1231,1621200,39,0.0025,0,18250.079050105,18250.079050105,18307.594675053,18228.631681789,18129.473581526,28305160526.3158,3959,685,1433900,46
2021,2/1/2021,2,T,1192,737,839800,22,0.0025,0,18250.079050105,18250.079050105,18307.594675053,18228.631681789,18129.473581526,28305160526.3158,1504,404,785000,32
2021,2/1/2021,2,A,4218,1759,697500,33,0.0025,0,18250.079050105,18250.079050105,18307.594675053,18228.631681789,18129.473581526,28305160526.3158,3732,1061,677200,31
2021,1/1/2021,1,D,2809,740,1576800,51,0.0025,0,17830.67500005,17830.67500005,17908.3151367,17853.74511715,17756.5350586,25055599000,3799,439,1431200,69
2021,1/1/2021,1,T,1206,454,815800,34,0.0025,0,17830.67500005,17830.67500005,17908.3151367,17853.74511715,17756.5350586,25055599000,1407,318,782500,58
2021,1/1/2021,1,A,4291,1195,680800,44,0.0025,0,17830.67500005,17830.67500005,17908.3151367,17853.74511715,17756.5350586,25055599000,3411,814,663200,43
2020,12/1/2020,12,D,2913,1026,1554600,50,0.0025,0,17520.947823810,17520.947823810,17582.642671143,17524.890532048,17455.004836286,24774899523.8095,3941,599,1423500,65
2020,12/1/2020,12,T,1176,593,813900,32,0.0025,0,17520.947823810,17520.947823810,17582.642671143,17524.890532048,17455.004836286,24774899523.8095,1418,364,778400,51
2020,12/1/2020,12,A,4449,1474,676500,40,0.0025,0,17520.947823810,17520.947823810,17582.642671143,17524.890532048,17455.004836286,24774899523.8095,3244,1053,656700,48
2020,11/1/2020,11,D,3806,1061,1538900,42,0.0025,0,16743.604910571,16743.604910571,16805.076311286,16723.404808524,16657.866769,27068319523.8095,4786,825,1415400,57
2020,11/1/2020,11,T,1578,632,814800,35,0.0025,0,16743.604910571,16743.604910571,16805.076311286,16723.404808524,16657.866769,27068319523.8095,1812,451,772800,42
2020,11/1/2020,11,A,5734,1371,676500,34,0.0025,0,16743.604910571,16743.604910571,16805.076311286,16723.404808524,16657.866769,27068319523.8095,4172,1222,651500,44
2020,10/1/2020,10,D,4324,1335,1523800,38,0.0025,0,16226.723865238,16226.723865238,16307.528552857,16252.685639810,16148.399925476,21104836666.6667,5419,938,1410500,55
2020,10/1/2020,10,T,1797,782,813000,29,0.0025,0,16226.723865238,16226.723865238,16307.528552857,16252.685639810,16148.399925476,21104836666.6667,2047,536,771600,43
2020,10/1/2020,10,A,6295,1570,683500,32,0.0025,0,16226.723865238,16226.723865238,16307.528552857,16252.685639810,16148.399925476,21104836666.6667,4770,1384,652500,41
2020,9/1/2020,9,D,4647,1317,1507500,40,0.0025,0,16234.704799143,16234.704799143,16343.980747810,16269.680943095,16138.499953381,23509544761.9048,5883,745,1406200,58
2020,9/1/2020,9,T,2021,730,809900,33,0.0025,0,16234.704799143,16234.704799143,16343.980747810,16269.680943095,16138.499953381,23509544761.9048,2233,422,767500,45
2020,9/1/2020,9,A,6428,1596,683500,32,0.0025,0,16234.704799143,16234.704799143,16343.980747810,16269.680943095,16138.499953381,23509544761.9048,5323,1166,651500,43
2020,8/1/2020,8,D,4614,1095,1491300,38,0.0025,0,16584.29003895,16584.29003895,16635.97514655,16589.1399414,16518.0798828,19975978000,5904,706,1406700,55
2020,8/1/2020,8,T,2036,620,806400,34,0.0025,0,16584.29003895,16584.29003895,16635.97514655,16589.1399414,16518.0798828,19975978000,2223,409,771900,44
2020,8/1/2020,8,A,6153,1332,685800,32,0.0025,0,16584.29003895,16584.29003895,16635.97514655,16589.1399414,16518.0798828,19975978000,5269,1116,654000,42
2020,7/1/2020,7,D,4460,1121,1477800,41,0.0025,0,15942.481800409,15942.481800409,16016.254527682,15938.027166091,15847.254527682,19476365909.0909,6218,841,1417000,48
2020,7/1/2020,7,T,1954,607,797700,33,0.0025,0,15942.481800409,15942.481800409,16016.254527682,15938.027166091,15847.254527682,19476365909.0909,2369,473,770000,41
2020,7/1/2020,7,A,5669,1400,682500,31,0.0025,0,15942.481800409,15942.481800409,16016.254527682,15938.027166091,15847.254527682,19476365909.0909,5653,1243,653200,37
2020,6/1/2020,6,D,4360,866,1464200,45,0.0025,0,15480.881880318,15480.881880318,15583.050026682,15500.508966636,15368.700106591,32107170454.5455,6518,746,1423500,48
2020,6/1/2020,6,T,1872,472,790800,37,0.0025,0,15480.881880318,15480.881880318,15583.050026682,15500.508966636,15368.700106591,32107170454.5455,2470,390,774700,34
2020,6/1/2020,6,A,5192,1105,680800,32,0.0025,0,15480.881880318,15480.881880318,15583.050026682,15500.508966636,15368.700106591,32107170454.5455,5980,941,654700,36
2020,5/1/2020,5,D,3949,534,1456700,45,0.0025,0,14903.83500965,14903.83500965,14987.2899413,14919.9050781,14790.11503915,31988184500,6416,913,1421900,45
2020,5/1/2020,5,T,1576,298,792700,39,0.0025,0,14903.83500965,14903.83500965,14987.2899413,14919.9050781,14790.11503915,31988184500,2392,419,779400,36
2020,5/1/2020,5,A,4402,653,686500,35,0.0025,0,14903.83500965,14903.83500965,14987.2899413,14919.9050781,14790.11503915,31988184500,5877,1246,664200,34
2020,4/1/2020,4,D,3863,388,1462100,44,0.0025,0,14071.476143952,14071.476143952,14214.609561,14055.990420476,13920.604724619,34830836666.6667,6236,586,1437100,52
2020,4/1/2020,4,T,1481,218,796800,32,0.0025,0,14071.476143952,14071.476143952,14214.609561,14055.990420476,13920.604724619,34830836666.6667,2325,358,783300,33
2020,4/1/2020,4,A,4045,503,685500,29,0.0025,0,14071.476143952,14071.476143952,14214.609561,14055.990420476,13920.604724619,34830836666.6667,5796,885,656900,33
2020,3/1/2020,3,D,4031,852,1450700,43,0.0025,-0.015,13757.131835864,13757.131835864,14098.399902455,13804.75,13428.9499735,49985722727.2727,5649,529,1437100,46
2020,3/1/2020,3,T,1494,493,791800,30,0.0025,-0.015,13757.131835864,13757.131835864,14098.399902455,13804.75,13428.9499735,49985722727.2727,2049,325,783600,39
2020,3/1/2020,3,A,4081,1179,687000,29,0.0025,-0.015,13757.131835864,13757.131835864,14098.399902455,13804.75,13428.9499735,49985722727.2727,5076,873,656900,37
2020,2/1/2020,2,D,3959,685,1433900,46,0.0175,0,17542.689453158,17542.689453158,17609.178865105,17558.310546842,17466.336965316,26151855789.4737,5273,448,1443100,55
2020,2/1/2020,2,T,1504,404,785000,32,0.0175,0,17542.689453158,17542.689453158,17609.178865105,17558.310546842,17466.336965316,26151855789.4737,1852,277,789300,39
2020,2/1/2020,2,A,3732,1061,677200,31,0.0175,0,17542.689453158,17542.689453158,17609.178865105,17558.310546842,17466.336965316,26151855789.4737,4465,759,660300,40
2020,1/1/2020,1,D,3799,439,1431200,69,0.0175,0,17381.995649818,17381.995649818,17412.731711682,17360.345525455,17328.049982273,21187187727.2727,4974,339,1453400,64
2020,1/1/2020,1,T,1407,318,782500,58,0.0175,0,17381.995649818,17381.995649818,17412.731711682,17360.345525455,17328.049982273,21187187727.2727,1719,205,800600,52
