Month,Year,Housetype,Sales,Benchmark price,Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants
7,2016,T,547,669000,14446.06499,193638010,0.5,24077,15161,34750,9574,4942
7,2017,T,543,763700,15153.55,152854985,0.75,24544,16259,28023,8595,4647
7,2018,T,354,856000,16432.5619,167334404.8,1.5,23993,16299,33295,7995,4360
7,2019,T,473,770000,16515.04084,168734668.2,1.75,23780,16132,34562,6842,4432
7,2020,T,607,797700,15942.4818,194763659.1,0.25,23866,16474,36449,5335,6108
7,2021,T,610,949400,20165.29511,170390819,0.25,23583,17885,28002,4249,948
6,2005,T,708,332987,9860.17729,118866386.4,2.5,21756,13484,35990,9314,3656
6,2006,T,751,402477,11341.05913,171613045.5,4.25,21892,13396,38296,9215,4517
6,2007,T,775,443060,13934.93345,222620738.1,4.25,22530,13455,32245,9838,4252
6,2008,T,450,476585,14718.77609,224197190.5,3,23039,13810,36617,9449,3945
6,2009,T,802,441620,10372.29998,218151945.5,0.25,23688,13492,35977,8334,3773
6,2010,T,575,492861,11680.17276,198242868.2,0.5,23586,13545,36850,8906,4270
6,2011,T,525,522424,13126.10915,203981027.3,1,23223,13564,32857,8783,3872
6,2012,T,415,468400,11495.65244,195250181,1,23339,13813,29630,9542,4251
6,2013,T,472,457000,12221.44502,1898260,1,23969,13976,29822,9560,4087
6,2014,T,636,471200,14960.51432,161603500,1,23681,14290,30466,9775,4347
6,2015,T,681,506900,14835.91362,169358604.5,0.75,24134,14952,25159,9752,4911
6,2016,T,730,656900,14042.44092,237967027.3,0.5,24077,15161,34750,9574,4942
6,2017,T,668,745700,15308.82267,229315709.1,0.5,24544,16259,28023,8595,4647
6,2018,T,19,859800,16253.25237,211363814.3,1.25,23993,16299,33295,7995,4360
6,2019,T,390,774700,16322.64517,211161580,1.75,23780,16132,34562,6842,4432
6,2020,T,472,790800,15480.88188,321071704.5,0.25,23866,16474,36449,5335,6108
6,2021,T,726,946900,20110.0728,229490768.2,0.25,23583,17885,28002,4249,948
5,2005,T,684,325650,9472.204799,109734381,2.5,21756,13484,35990,9314,3656
5,2006,T,772,396455,11923.00004,195242736.4,4.25,21892,13396,38296,9215,4517
5,2007,T,723,439317,13929.26363,217745700,4.25,22530,13455,32245,9838,4252
5,2008,T,555,478931,14612.92852,228298366.7,3,23039,13810,36617,9449,3945
5,2009,T,664,435848,10031.3251,235301260,0.25,23688,13492,35977,8334,3773
5,2010,T,546,500339,11816.48003,233062465,0.5,23586,13545,36850,8906,4270
5,2011,T,579,517787,13620.74284,184362090.5,1,23223,13564,32857,8783,3872
5,2012,T,517,470000,11644.10906,187124886.4,1,23339,13813,29630,9542,4251
5,2013,T,534,454900,12585.10454,26349127.27,1,23969,13976,29822,9560,4087
5,2014,T,547,469100,14635.73814,142653671.4,1,23681,14290,30466,9775,4347
5,2015,T,733,501000,15127.22993,174151160,0.75,24134,14952,25159,9752,4911
5,2016,T,754,632400,13851.87616,225815647.6,0.5,24077,15161,34750,9574,4942
5,2017,T,791,715400,15486.841,206910068.2,0.5,24544,16259,28023,8595,4647
5,2018,T,476,859500,15964.3999,205693645.5,1.25,23993,16299,33295,7995,4360
5,2019,T,419,779400,16316.76376,216000386.4,1.75,23780,16132,34562,6842,4432
5,2020,T,298,792700,14903.83501,319881845,0.25,23866,16474,36449,5335,6108
5,2021,T,800,936300,19442.90488,238416995,0.25,23583,17885,28002,4249,948
5,2022,T,520,1141200,20384.325,276782465,1,23811,18058,28273,4290,957
4,2005,T,619,325852,9474.85705,113201342.9,2.5,21756,13484,35990,9314,3656
4,2006,T,539,380163,12291.06317,179271184.2,4,21892,13396,38296,9215,4517
4,2007,T,634,432490,13535.05,202528305,4.25,22530,13455,32245,9838,4252
4,2008,T,608,477900,13891.25901,216147859.1,3.5,23039,13810,36617,9449,3945
4,2009,T,594,431759,9224.666574,231294823.8,0.5,23688,13492,35977,8334,3773
4,2010,T,616,502399,12157.11435,186932461.9,0.25,23586,13545,36850,8906,4270
4,2011,T,622,514670,13962.37998,201216735,1,23223,13564,32857,8783,3872
4,2012,T,483,487300,12135.45996,181849105,1,23339,13813,29630,9542,4251
4,2013,T,511,455200,12299.17272,174803804.5,1,23969,13976,29822,9560,4087
4,2014,T,542,464400,14440.53334,166964819,1,23681,14290,30466,9775,4347
4,2015,T,785,493300,15299.2713,179636585.7,0.75,24134,14952,25159,9752,4911
4,2016,T,695,608600,13650.36203,235401161.9,0.5,24077,15161,34750,9574,4942
4,2017,T,620,701800,15642.25786,207050331.6,0.5,24544,16259,28023,8595,4647
4,2018,T,464,854200,15380.42383,192587228.6,1.25,23993,16299,33295,7995,4360
4,2019,T,358,783300,16470.40002,214245804.8,1.75,23780,16132,34562,6842,4432
4,2020,T,218,796800,14071.47614,348308366.7,0.25,23866,16474,36449,5335,6108
4,2021,T,964,900900,19168.8764,201202557.1,0.25,23583,17885,28002,4249,948
4,2022,T,578,1150500,21586.46514,251417865,1,23811,18058,28273,4290,957
3,2005,T,646,319756,9697.027255,134334804.5,2.5,21756,13484,35990,9314,3656
3,2006,T,730,375919,11971.74338,172064708.7,3.75,21892,13396,38296,9215,4517
3,2007,T,651,428299,13026.08181,194157718.2,4.25,22530,13455,32245,9838,4252
3,2008,T,511,473543,13245.36504,250488795,4,23039,13810,36617,9449,3945
3,2009,T,392,420563,8314.063676,265429100,1,23688,13492,35977,8334,3773
3,2010,T,549,493263,11966.74783,178736013,0.25,23586,13545,36850,8906,4270
3,2011,T,663,511039,13932.90005,230097587,1,23223,13564,32857,8783,3872
3,2012,T,500,480900,12464.03187,224466750,1,23339,13813,29630,9542,4251
3,2013,T,432,454300,12777.30005,183583045,1,23969,13976,29822,9560,4087
3,2014,T,419,460100,14281.35235,174492014.3,1,23681,14290,30466,9775,4347
3,2015,T,722,484900,14921.5819,203606286.4,0.75,24134,14952,25159,9752,4911
3,2016,T,786,589100,13382.09992,277971113.6,0.5,24077,15161,34750,9574,4942
3,2017,T,588,685100,15515.27819,227673295.7,0.5,24544,16259,28023,8595,4647
3,2018,T,446,835300,15490.39518,205932438.1,1.25,23993,16299,33295,7995,4360
3,2019,T,325,783600,16119.56185,269785457.1,1.75,23780,16132,34562,6842,4432
3,2020,T,493,791800,13757.13184,499857227.3,1.75,23866,16474,36449,5335,6108
3,2021,T,1046,872200,18658.09986,279895065.2,0.25,23583,17885,28002,4249,948
3,2022,T,743,1138300,21626.25221,318250039.1,0.5,23811,18058,28273,4290,957
2,2005,T,525,314145,9529.84502,122319630,2.5,21756,13484,35990,9314,3656
2,2006,T,552,364114,11770.26992,180408190,3.5,21892,13396,38296,9215,4517
2,2007,T,469,419061,13206.32495,193061345,4.25,22530,13455,32245,9838,4252
2,2008,T,484,472147,13352.51514,225291365,4,23039,13810,36617,9449,3945
2,2009,T,243,426268,8437.615723,250627047.4,1,23688,13492,35977,8334,3773
2,2010,T,416,495496,11453.66833,165491015.8,0.25,23586,13545,36850,8906,4270
2,2011,T,489,507118,13908.25262,231785900,1,23223,13564,32857,8783,3872
2,2012,T,424,472800,12552.74507,205881265,1,23339,13813,29630,9542,4251
2,2013,T,333,455500,12737.00524,175184678.9,1,23969,13976,29822,9560,4087
2,2014,T,466,458300,13964.4632,192155494.7,1,23681,14290,30466,9775,4347
2,2015,T,521,481500,15155.01054,225961247.4,0.75,24134,14952,25159,9752,4911
2,2016,T,604,569600,12632.43511,277675520,0.5,24077,15161,34750,9574,4942
2,2017,T,404,675500,15639.70528,231691615.8,0.5,24544,16259,28023,8595,4647
2,2018,T,401,819200,15430.63163,234158378.9,1.25,23993,16299,33295,7995,4360
2,2019,T,277,789300,15811.20534,250210405.3,1.75,23780,16132,34562,6842,4432
2,2020,T,404,785000,17542.68945,261518557.9,1.75,23866,16474,36449,5335,6108
