Year,MakeDate,Population,GrowthRate,Growth,Month,Housetype,Active listing,Sales,Benchmark price,Change,Average day on market,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
2017,7/1/2017,2499092,0.0127,31258,7,T,1210,543,763700,0.024138393,20,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,7/1/2017,2499092,0.0127,31258,7,A,2366,1468,616600,0.026469119,17,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,6/1/2017,2499092,0.0127,31258,6,D,5394,1320,1587900,0.017232543,30,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,6/1/2017,2499092,0.0127,31258,6,T,1077,668,745700,0.042353928,21,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,6/1/2017,2499092,0.0127,31258,6,A,2044,1905,600700,0.051461579,17,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,5/1/2017,2499092,0.0127,31258,5,D,4989,1548,1561000,0.029343884,33,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,5/1/2017,2499092,0.0127,31258,5,T,1039,791,715400,0.01937874,23,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,5/1/2017,2499092,0.0127,31258,5,A,2140,2025,571300,0.031041328,19,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,4/1/2017,2499092,0.0127,31258,4,D,4653,1211,1516500,0.018195246,40,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,4/1/2017,2499092,0.0127,31258,4,T,1066,620,701800,0.024376004,24,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,4/1/2017,2499092,0.0127,31258,4,A,2094,1722,554100,0.031075549,19,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,3/1/2017,2499092,0.0127,31258,3,D,4404,1150,1489400,0.010310677,39,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,3/1/2017,2499092,0.0127,31258,3,T,1018,588,685100,0.014211695,27,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,3/1/2017,2499092,0.0127,31258,3,A,2164,1841,537400,0.021090633,23,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,2/1/2017,2499092,0.0127,31258,2,D,4310,745,1474200,-0.000406835,41,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,2/1/2017,2499092,0.0127,31258,2,T,1031,404,675500,0.013503376,30,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,2/1/2017,2499092,0.0127,31258,2,A,2253,1275,526300,0.027327738,24,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,1/1/2017,2499092,0.0127,31258,1,D,4118,444,1474800,0,58,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,1/1/2017,2499092,0.0127,31258,1,T,938,254,666500,0,43,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
2017,1/1/2017,2499092,0.0127,31258,1,A,2182,825,512300,0,35,24544,16259,28023,8595,4647,3816,5717,-13099,13544,,,,
